id,name,primaryvalue,category,type,metric_001
0,"ABBOTT, Tony",1,residential,Liberal,656800
1,"ABETZ, Eric",2,residential,Liberal,1313600
2,"ALBANESE, Anthony",4,"residential, investment",Labor,2627200
3,"ALEXANDER, John",1,residential,Liberal,656800
4,"ALY, Anne",3,"residential, investment",Labor,1970400
5,"ANDREWS, Karen",10,"residential, investment",Liberal,6568000
6,"ANDREWS, Kevin",3,investment,Liberal,1970400
7,"BACK, Chris",4,"residential, investment, holiday home",Liberal,2627200
8,"BANDT, Adam",1,residential,Greens,656800
9,"BANKS, Julia",5,"residential, investment",Liberal,3284000
10,"BERNARDI, Cory",1,residential,Australian Conservatives,656800
11,"BILYK, Catryna",5,"residential, investment",Labor,3284000
12,"BIRD, Sharon",1,residential,Labor,656800
13,"BIRMINGHAM, Simon",3,"residential, investment",Liberal,1970400
14,"BISHOP, Julie",3,"residential, investment",Liberal,1970400
15,"BOWEN, Chris",2,"residential, holiday home",Labor,1313600
16,"BRANDIS, George",3,"residential, investment",LNP,1970400
17,"BROAD, Andrew",2,"residential, agricultural",Nationals,1313600
18,"BROADBENT, Russell",3,"residential, investment",Nationals,1970400
19,"BRODTMANN, Gai",1,residential,Labor,656800
20,"BROWN, Carol",3,"residential, investment",Labor,1970400
21,"BUCHHOLZ, Scott",2,"residential, agricultural",LNP,1313600
22,"BURKE, Tony",2,residential,Labor,1313600
23,"BURNEY, Linda",4,"residential, investment",Labor,2627200
24,"BURSTON, Brian",0,no property,One Nation,
25,"BUSHBY, David",1,residential,Liberal,656800
26,"BUTLER, Mark",2,residential,Labor,1313600
27,"BYRNE, Anthony",1,residential,Labor,656800
28,"CAMERON, Doug",3,residential,Labor,1970400
29,"CANAVAN, Matt",1,"residential, investment",LNP,656800
30,"CARR, Kim",3,investment,Labor,1970400
31,"CASH, Michaelia",4,"residential, investment, holiday home",Liberal,2627200
32,"CHALMERS, Jim",2,"residential, investment",Labor,1313600
33,"CHAMPION, Nick",2,residential,Labor,1313600
34,"CHESTER, Darren",4,residential,Nationals,2627200
35,"CHESTERS, Lisa",2,"residential, investment",Labor,1313600
36,"CHISHOLM, Anthony",1,"residential, investment",Labor,656800
37,"CHRISTENSEN, George",0,no property,LNP,
38,"CIOBO, Steve",2,"residential, investment",LNP,1313600
39,"CLARE, Jason",1,residential,Labor,656800
40,"CLAYDON, Sharon",2,residential,Labor,1313600
41,"COLEMAN, David",2,"residential, investment",Liberal,1313600
42,"COLLINS, Jacinta",3,residential,Labor,1970400
,"COLLINS, Julie",,residential,Labor,656800
43,"CONROY, Patrick",2,residential,Labor,1313600
44,"CORMANN, Mathias",5,"residential, investment",Liberal,3284000
45,"COULTON, Mark",3,"residential, investment",Nationals,1970400
46,"CREWTHER, Chris",2,"residential, investment",Liberal,1313600
47,"DANBY, Michael",1,residential,Labor,656800
48,"DASTYARI, Sam",2,"residential, investment",Labor,1313600
49,"DICK, Milton",2,"residential, investment",Labor,1313600
50,"DINATALE, Richard",1,residential,Greens,656800
,"DODSON, Pat",1,residential,Labor,656800
51,"DREYFUS, Mark",2,"residential, investment",Labor,1313600
52,"DRUM, Damian",5,"residential, investment, industrial",Nationals,3284000
53,"DUNIAM, Jonathon",2,"residential, investment",Liberal,1313600
54,"DUTTON, Peter",7,"residential, investment",Liberal,4597600
55,"ELLIOT, Justine",3,"residential, investment",Labor,1970400
56,"ELLIS, Kate",3,"residential, investment",Labor,1970400
57,"ENTSCH, Warren",2,residential,LNP,1313600
58,"EVANS, Trevor",1,residential,LNP,656800
59,"FALINSKI, Jason",3,"residential, investment",Liberal,1970400
60,"FARRELL, Don",3,"residential, agricultural",Labor,1970400
61,"FAWCETT, David",3,"residential, investment",Liberal,1970400
62,"FEENEY, David",3,"residential, investment",Labor,1970400
63,"FIERRAVANTI-WELLS, Concetta",3,"residential, investment",Liberal,1970400
64,"FIFIELD, Mitch",3,"residential, investment",Liberal,1970400
65,"FITZGIBBON, Joel",5,"residential, investment, commercial",Labor,3284000
66,"FLETCHER, Paul",1,residential,Liberal,656800
67,"FLINT, Nicolle",0,no property,Liberal,
68,"FREELANDER, Mike",4,"residential, commercial",Labor,2627200
69,"FRYDENBERG, Josh",1,residential,Liberal,656800
