id,name,primaryvalue,category,type,metric_001
0,"CHANDLER-MATHER, Max",0,,Greens,0
1,"BATES, Stephen",0,,Greens,0
2,"BURNS, Josh",0,,Labor,0
3,"BABET, Ralph",0,,United Australia Party,0
4,"KATTER, Bob",0,,Katter's Australian Party,0
5,"DUTTON, Peter",1,,Liberal,807110
6,"O'NEIL, Clare",1,,Labor,807110
7,"BANDT, Adam",1,,Greens,807110
8,"SHORTEN, Bill",1,,Labor,807110
9,"LAMBIE, Jacqui",1,,Jacqui Lambie Network,807110
10,"BRAGG, Andrew",1,,Liberal,807110
11,"ALBANESE, Anthony",2,,Labor,1614220
12,"CHALMERS, Jim",2,,Labor,1614220
13,"GALLAGHER, Katy",2,,Labor,1614220
14,"FARRELL, Don",2,,Labor,1614220
15,"JOYCE, Barnaby",2,,Nationals,1614220
16,"HANSON, Pauline",2,,One Nation,1614220
17,"PAYMAN, Fatima",2,,Independent,1614220
18,"CHESTERS, Lisa",3,,Labor,2421330
19,"FARUQI, Mehreen",4,,Greens,3228440
20,"MCKIM, Nick",4,,Greens,3228440
21,"O'NEILL, Deborah",5,,Labor,4035550
22,"RENNICK, Gerard",5,,Liberal National Party,4035550
23,"PEARCE, Gavin",5,,Liberal,4035550
24,"WILLCOX, Andrew",5,,Liberal National Party,4035550
25,"ZAPPIA, Tony",5,,Labor,4035550
26,"BURKE, Tony",6,,Labor,4842660
27,"MILLER-FROST, Louise",6,,Labor,4842660
28,"O'CONNOR, Brendan",6,,Labor,4842660
29,"ANANDA-RAJAH, Michelle",7,,Labor,5649770
30,"ANDREWS, Karen",7,,Liberal National Party,5649770
