id,name,primaryvalue,category,type,metric_001,has_investment,rental_income_declared,chamber
0,Michelle Ananda-Rajah,6,All listed residential/investment,,,y,Yes,Senate
1,Tony Burke,6,"2 residential, 4 investment",,,y,yes,House of Representatives
2,Andrew Charlton,5,5 residential investment properties,,,y,Yes,House of Representatives
3,Colin Boyce,5,5 cattle grazing incl 2 leasehold,,,,,House of Representatives
4,Deborah O'Neill,5,"1 residential, 4 investment",,,y,Yes,Senate
5,Michelle Rowland,5,"2 residential investment, 3 investments inside a trust",,,y,,House of Representatives
6,Terry Young,5,"2 residential, 3 investment",,,y,yes,House of Representatives
7,Alison Byrnes,4,"2 residential, 1 storage unit, 1 for ""administration"" purposes",,,,No,House of Representatives
8,Andrew Willcox,4,"1 residential, 3 as ""landlord""",,,y,"(No, but 3x ""landlord"" declared)",House of Representatives
9,Bridget McKenzie,4,"1 residential, 2 investment, 1 residential/investment",,,y,Yes,Senate
10,Darren Chester,4,"2 residential, 2 investment",,,y,,House of Representatives
11,Julian Hill,4,"1 family residence, 1 residential lease, 1 residential/investment, 1 investment",,,y,,House of Representatives
12,Kristy McBain,4,"2 residential, 2 investment",,,y,yes,House of Representatives
13,Louise Miller-Frost,4,"2 residential, 2 investment",,,y,,House of Representatives
14,Madeleine King,4,"3 residential, 1 investment",,,y,,House of Representatives
15,Mark Dreyfus,4,"2 residential, 2 investment",,,y,,House of Representatives
16,Meryl Swanson,4,"2 residential, 2 investment",,,y,,House of Representatives
17,Milton Dick,4,"2 residential, 2 investment",,,y,,House of Representatives
18,Nick McKim,4,"2 residential, 1 shack, 1 agricultural land",,,,No,Senate
19,Rick Wilson,4,"2 farming properties, 1 residential, 1 investment",,,y,,House of Representatives
20,Sarah Witty,4,"1 residential, 3 investment",,,y,yes,House of Representatives
21,Sophie Scamps,4,"1 residential, 1 ""hobby farm"", 1 bush block, 1 investment",,,y,yes,House of Representatives
22,Steve Georganas,4,"2 residential, 1 block of residential land in Greece, and ownership of a ""block of farm land (olive groves)"" in Greece",,,,,House of Representatives
23,Susan Templeman,4,4 residential,,,,,House of Representatives
24,Sussan Ley,4,"1 residential, 3 investment",,,y,No,House of Representatives
25,Tanya Plibersek,4,"2 residential, 2 investment - including  1 in Slovenia",,,y,,House of Representatives
26,Tony Zappia,4,"1 residential, share of a residential property, 2x shares of investment property",,,y,Yes,House of Representatives
27,Allegra Spender,3,"residential, holiday house, estate asset",,,,,House of Representatives
28,Carol Brown,3,"1 residential, 1 share in shack, 1 investment",,,y,No,Senate
29,Catherine King,3,"1 residential, 2 investment",,,y,Yes,House of Representatives
30,David Littleproud,3,"2 residential, 1 investment",,,y,,House of Representatives
31,Elizabeth Watson-Brown,3,"1 residential, 1 share in investment, 1 share in holiday flat",,,y,,House of Representatives
32,Garth Hamilton,3,"1 residential, 2 investment",,,y,Yes,House of Representatives
33,Ged Kearney,3,"1 residential 1 investment 1 share in ""vacant land""",,,y,,House of Representatives
34,Glenn Sterle,3,"1 residential, 1 investment, 1 residential/investment",,,y,No,Senate
35,Helen Polley,3,"2 residential, 1 investment",,,y,yes,Senate
36,Jason Wood,3,"1 residential, 1 investment, 1 commercial",,,y,,House of Representatives
37,Jenny McAllister,3,"1 residential, 1 investment, 1 rural property",,,y,yes,Senate
38,Jess Teesdale,3,"1 block of land, 2x one-third shares in investment properties",,,y,yes,House of Representatives
39,Jess Walsh,3,"2 residential, 1 investment",,,y,yes,Senate
40,Karen Grogan,3,"1 residential, 2 investment",,,y,Yes,Senate
41,Kate Thwaites,3,"2 residential, 1 investment",,,y,Yes,House of Representatives
42,Kevin Hogan,3,"2 residential, 1 investment",,,y,,House of Representatives
43,Lisa Darmanin,3,"2 residential, 1 investment",,,y,Yes,Senate
44,Marielle Smith,3,3 residential,,,,,Senate
45,Michaelia Cash,3,"2 residential, 1 investment",,,y,Yes,Senate
46,Penny Wong,3,"2 residential, 1 ""future residential""",,,y,,Senate
47,Raff Ciccone,3,"1 residential, 2 investment",,,y,Yes,Senate
48,Richard Marles,3,"2 residential, 1 investment",,,y,No,House of Representatives
49,Sarah Henderson,3,"2 residential, 1 investment",,,y,Yes,Senate
50,Scott Buchholz,3,"2 residential, 1 investment",,,y,,House of Representatives
51,Sue Lines,3,"2 residential, 1 private use",,,,,Senate
52,Tania Lawrence,3,"1 residential, 1 investment, 1 business",,,y,,House of Representatives
53,Ted O’Brien,3,2 residential and 1 investment,,,y,,House of Representatives
54,Tony Pasin,3,"2 residential, 1 farmland",,,,,House of Representatives
55,Wendy Askew,3,"2 residential, 1 investment",,,y,yes,Senate
56,Ali France,2,"1 residential, 1 investment",,,y,,House of Representatives
57,Amanda Rishworth,2,"1 residential, 1 investment",,,y,,House of Representatives
58,Andrew Gee,2,"2 ""rental""",,,,yes,House of Representatives
59,Andrew Wilkie,2,"1 residential, 1 Holiday residential",,,,,House of Representatives
