id,name,primaryvalue,category,type,metric_001,has_investment,rental_income_declared,chamber
0,Michelle Ananda-Rajah,6,All listed residential/investment,Labor,5093148,y,Yes,Senate
1,Tony Burke,6,"2 residential, 4 investment",Labor,5093148,y,yes,House of Representatives
2,Andrew Charlton,5,5 residential investment properties,Labor,4244290,y,Yes,House of Representatives
3,Colin Boyce,5,5 cattle grazing incl 2 leasehold,LNP,4244290,,,House of Representatives
4,Deborah O'Neill,5,"1 residential, 4 investment",Labor,4244290,y,Yes,Senate
5,Michelle Rowland,5,"2 residential investment, 3 investments inside a trust",Labor,4244290,y,,House of Representatives
6,Terry Young,5,"2 residential, 3 investment",LNP,4244290,y,yes,House of Representatives
7,Alison Byrnes,4,"2 residential, 1 storage unit, 1 for ""administration"" purposes",Labor,3395432,,No,House of Representatives
8,Andrew Willcox,4,"1 residential, 3 as ""landlord""",LNP,3395432,y,"(No, but 3x ""landlord"" declared)",House of Representatives
9,Bridget McKenzie,4,"1 residential, 2 investment, 1 residential/investment",Nationals,3395432,y,Yes,Senate
10,Darren Chester,4,"2 residential, 2 investment",Nationals,3395432,y,,House of Representatives
11,Julian Hill,4,"1 family residence, 1 residential lease, 1 residential/investment, 1 investment",Labor,3395432,y,,House of Representatives
12,Kristy McBain,4,"2 residential, 2 investment",Labor,3395432,y,yes,House of Representatives
13,Louise Miller-Frost,4,"2 residential, 2 investment",Labor,3395432,y,,House of Representatives
14,Madeleine King,4,"3 residential, 1 investment",Labor,3395432,y,,House of Representatives
15,Mark Dreyfus,4,"2 residential, 2 investment",Labor,3395432,y,,House of Representatives
16,Meryl Swanson,4,"2 residential, 2 investment",Labor,3395432,y,,House of Representatives
17,Milton Dick,4,"2 residential, 2 investment",Labor,3395432,y,,House of Representatives
18,Nick McKim,4,"2 residential, 1 shack, 1 agricultural land",Greens,3395432,,No,Senate
19,Rick Wilson,4,"2 farming properties, 1 residential, 1 investment",Liberal,3395432,y,,House of Representatives
20,Sarah Witty,4,"1 residential, 3 investment",Labor,3395432,y,yes,House of Representatives
21,Sophie Scamps,4,"1 residential, 1 ""hobby farm"", 1 bush block, 1 investment",Independent,3395432,y,yes,House of Representatives
22,Steve Georganas,4,"2 residential, 1 block of residential land in Greece, and ownership of a ""block of farm land (olive groves)"" in Greece",Labor,3395432,,,House of Representatives
23,Susan Templeman,4,4 residential,Labor,3395432,,,House of Representatives
24,Sussan Ley,4,"1 residential, 3 investment",Liberal,3395432,y,No,House of Representatives
25,Tanya Plibersek,4,"2 residential, 2 investment - including  1 in Slovenia",Labor,3395432,y,,House of Representatives
26,Tony Zappia,4,"1 residential, share of a residential property, 2x shares of investment property",Labor,3395432,y,Yes,House of Representatives
27,Allegra Spender,3,"residential, holiday house, estate asset",Independent,2546574,,,House of Representatives
28,Carol Brown,3,"1 residential, 1 share in shack, 1 investment",Labor,2546574,y,No,Senate
29,Catherine King,3,"1 residential, 2 investment",Labor,2546574,y,Yes,House of Representatives
30,David Littleproud,3,"2 residential, 1 investment",LNP,2546574,y,,House of Representatives
31,Elizabeth Watson-Brown,3,"1 residential, 1 share in investment, 1 share in holiday flat",Greens,2546574,y,,House of Representatives
32,Garth Hamilton,3,"1 residential, 2 investment",LNP,2546574,y,Yes,House of Representatives
33,Ged Kearney,3,"1 residential 1 investment 1 share in ""vacant land""",Labor,2546574,y,,House of Representatives
34,Glenn Sterle,3,"1 residential, 1 investment, 1 residential/investment",Labor,2546574,y,No,Senate
35,Helen Polley,3,"2 residential, 1 investment",Labor,2546574,y,yes,Senate
36,Jason Wood,3,"1 residential, 1 investment, 1 commercial",Liberal,2546574,y,,House of Representatives
37,Jenny McAllister,3,"1 residential, 1 investment, 1 rural property",Labor,2546574,y,yes,Senate
38,Jess Teesdale,3,"1 block of land, 2x one-third shares in investment properties",Labor,2546574,y,yes,House of Representatives
39,Jess Walsh,3,"2 residential, 1 investment",Labor,2546574,y,yes,Senate
40,Karen Grogan,3,"1 residential, 2 investment",Labor,2546574,y,Yes,Senate
41,Kate Thwaites,3,"2 residential, 1 investment",Labor,2546574,y,Yes,House of Representatives
42,Kevin Hogan,3,"2 residential, 1 investment",Nationals,2546574,y,,House of Representatives
43,Lisa Darmanin,3,"2 residential, 1 investment",Labor,2546574,y,Yes,Senate
44,Marielle Smith,3,3 residential,Labor,2546574,,,Senate
45,Michaelia Cash,3,"2 residential, 1 investment",Liberal,2546574,y,Yes,Senate
46,Penny Wong,3,"2 residential, 1 ""future residential""",Labor,2546574,y,,Senate
47,Raff Ciccone,3,"1 residential, 2 investment",Labor,2546574,y,Yes,Senate
48,Richard Marles,3,"2 residential, 1 investment",Labor,2546574,y,No,House of Representatives
49,Sarah Henderson,3,"2 residential, 1 investment",Liberal,2546574,y,Yes,Senate
50,Scott Buchholz,3,"2 residential, 1 investment",LNP,2546574,y,,House of Representatives
51,Sue Lines,3,"2 residential, 1 private use",Labor,2546574,,,Senate
52,Tania Lawrence,3,"1 residential, 1 investment, 1 business",Labor,2546574,y,,House of Representatives
53,Ted O’Brien,3,2 residential and 1 investment,LNP,2546574,y,,House of Representatives
54,Tony Pasin,3,"2 residential, 1 farmland",Liberal,2546574,,,House of Representatives
55,Wendy Askew,3,"2 residential, 1 investment",Liberal,2546574,y,yes,Senate
56,Ali France,2,"1 residential, 1 investment",Labor,1697716,y,,House of Representatives
57,Amanda Rishworth,2,"1 residential, 1 investment",Labor,1697716,y,,House of Representatives
58,Andrew Gee,2,"2 ""rental""",Independent,1697716,,yes,House of Representatives
59,Andrew Wilkie,2,"1 residential, 1 Holiday residential",Independent,1697716,,,House of Representatives
60,Anika Wells,2,"1 residential, 1 rental property",Labor,1697716,y,yes,House of Representatives
61,Anne Stanley,2,"1 residential, 1 investment",Labor,1697716,y,,House of Representatives
62,Anne Urquhart,2,"1 residential,1 ""block of land""",Labor,1697716,,,House of Representatives
63,Anne Webster,2,2 residential,Nationals,1697716,,,House of Representatives
